의원표시과목별건수(단위_천건)_2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
구분,2020년,2021년,2022년,2023년,2024년
전체,479588,470941,553946,589671,589323
내과,94049,92455,108036,113872,115870
신경과,3139,3375,3671,3769,3975
정신건강의학과,12420,14238,15642,16911,18224
외과,11037,10928,11505,11476,11448
정형외과,54286,57513,59803,61782,63298
신경외과,9600,10065,10182,10327,10714
심장혈관흉부외과,365,376,432,419,417
성형외과,400,493,598,694,769
마취통증의학과,14172,14875,15390,15626,16305
산부인과,13662,13637,13495,13330,13209
소아청소년과,30837,28101,47166,56914,53580
안과,32446,33652,33434,34373,34172
이비인후과,47663,40308,64690,76290,74681
피부과,20668,20724,20025,20512,20747
비뇨의학과,12367,12314,12138,12418,12493
영상의학과,1012,1063,1115,1096,1096
진단검사의학과,28,27,38,25,17
결핵과,23,12,12,11,10
재활의학과,7181,7608,7949,8233,8677
가정의학과,12503,11632,14274,14895,14477
일반의,101717,97533,114334,116684,115127
기타,13,12,16,14,15
