시도별(1),성별(1),2024,2024.1,2024.2,2024.3,2024.4,2024.5,2024.6,2024.7,2024.8,2024.9,2024.10,2024.11,2024.12,2024.13,2024.14,2024.15,2024.16,2024.17,2024.18,2024.19,2024.20,2024.21,2024.22,2024.23,2024.24,2024.25,2024.26,2024.27,2024.28,2024.29,2024.30,2024.31,2024.32,2024.33,2024.34
시도별(1),성별(1),계,계,계,계,계,20대,20대,20대,20대,20대,30대,30대,30대,30대,30대,40대,40대,40대,40대,40대,50대,50대,50대,50대,50대,60대,60대,60대,60대,60대,70대,70대,70대,70대,70대
시도별(1),성별(1),계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심
계,합계,4569121,3658463,668160,222286,20212,620240,479878,97312,38852,4198,879939,653695,163233,58170,4841,848000,640078,152358,51190,4374,971077,792384,135281,39853,3559,858080,741886,88287,25496,2411,391785,350542,31689,8725,829
계,남자,2313420,1929934,293140,83351,6995,320246,267567,38641,12724,1314,466354,371590,72029,21297,1438,433053,335179,74283,21907,1684,489316,412061,60661,15272,1322,420522,374877,35573,9147,925,183929,168660,11953,3004,312
계,여자,2255701,1728529,375020,138935,13217,299994,212311,58671,26128,2884,413585,282105,91204,36873,3403,414947,304899,78075,29283,2690,481761,380323,74620,24581,2237,437558,367009,52714,16349,1486,207856,181882,19736,5721,517
서울특별시,합계,849783,652267,144367,48814,4335,125986,91878,23402,9704,1002,193356,135785,41331,14961,1279,154735,112603,30871,10403,858,164409,130617,25636,7504,652,142134,120669,16588,4495,382,69163,60715,6539,1747,162
서울특별시,남자,403791,326085,59059,17209,1438,56027,44542,8267,2911,307,93215,71016,16718,5114,367,76159,57200,14360,4283,316,80550,66355,11112,2829,254,66780,58843,6270,1529,138,31060,28129,2332,543,56
서울특별시,여자,445992,326182,85308,31605,2897,69959,47336,15135,6793,695,100141,64769,24613,9847,912,78576,55403,16511,6120,542,83859,64262,14524,4675,398,75354,61826,10318,2966,244,38103,32586,4207,1204,106
부산광역시,합계,277279,227515,36658,11961,1145,36871,29484,5138,2016,233,49662,37983,8512,2909,258,48745,37596,8194,2732,223,56729,47037,7299,2185,208,55687,48753,5258,1507,169,29585,26662,2257,612,54
