종별진료인원(단위_천명)_2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
구분,입원외래구분,2020년,2021년,2022년,2023년,2024년
전체,전체,47927,47982,49454,49307,49108
전체,입원,6927,7016,7072,7640,7542
전체,외래,47564,47626,49145,48986,48771
상급종합병원,전체,7334,7986,8383,8752,7928
상급종합병원,입원,1492,1603,1575,1906,1528
상급종합병원,외래,7091,7713,8108,8425,7668
종합병원,전체,12988,13905,16630,14338,13646
종합병원,입원,2613,2696,2731,3045,3118
종합병원,외래,12482,13293,16059,13719,13002
병원,전체,12801,12986,15338,13523,13028
병원,입원,2097,1990,2003,2116,2202
병원,외래,12474,12680,15049,13216,12707
요양병원,전체,794,709,962,696,658
요양병원,입원,374,353,388,376,369
요양병원,외래,469,395,621,362,329
정신병원,전체,-,215,285,283,287
정신병원,입원,-,37,46,51,55
정신병원,외래,-,193,260,255,257
의원,전체,42822,42526,45912,45884,45659
의원,입원,1217,1217,1210,1167,1222
의원,외래,42749,42465,45860,45837,45609
치과병원,전체,1617,1643,1626,1660,1687
치과병원,입원,7,7,7,7,7
치과병원,외래,1617,1642,1625,1660,1687
치과의원,전체,21648,22502,22831,23410,23899
치과의원,입원,0,0,0,0,0
치과의원,외래,21648,22502,22831,23410,23899
한방병원,전체,758,811,849,854,881
한방병원,입원,158,153,164,182,199
한방병원,외래,651,707,735,725,741
한의원,전체,11124,10832,10736,10598,10748
한의원,입원,10,11,13,15,15
한의원,외래,11119,10827,10731,10591,10741
보건기관 등,전체,1544,984,997,1171,1199
보건기관 등,입원,2,1,1,1,1
보건기관 등,외래,1543,983,996,1170,1199
약국,전체,44289,43911,46727,46944,46735
