split,zip_path,status,json_count,message
Training,data/raw/counseling/Training/02.라벨링데이터/TL_001. 우울증_0001. 1회기.zip,error,0,Expecting value: line 10 column 16 (char 204)
Training,data/raw/counseling/Training/02.라벨링데이터/TL_001. 우울증_0002. 2회기.zip,success,46,
Training,data/raw/counseling/Training/02.라벨링데이터/TL_001. 우울증_0003. 3회기.zip,success,48,
Training,data/raw/counseling/Training/02.라벨링데이터/TL_001. 우울증_0004. 4회기.zip,error,0,"Expecting ',' delimiter: line 10 column 33 (char 221)"
Training,data/raw/counseling/Training/02.라벨링데이터/TL_001. 우울증_0005. 5회기.zip,success,47,
Training,data/raw/counseling/Training/02.라벨링데이터/TL_001. 우울증_0006. 6회기.zip,success,47,
Training,data/raw/counseling/Training/02.라벨링데이터/TL_001. 우울증_0007. 7회기.zip,success,45,
Training,data/raw/counseling/Training/02.라벨링데이터/TL_001. 우울증_0008. 8회기.zip,success,45,
Training,data/raw/counseling/Training/02.라벨링데이터/TL_001. 우울증_0009. 9회기.zip,success,4,
Training,data/raw/counseling/Training/02.라벨링데이터/TL_001. 우울증_0010. 10회기.zip,success,4,
Training,data/raw/counseling/Training/02.라벨링데이터/TL_002. 불안장애_0001. 1회기.zip,success,44,
Training,data/raw/counseling/Training/02.라벨링데이터/TL_002. 불안장애_0002. 2회기.zip,error,0,"Expecting ',' delimiter: line 10 column 62 (char 244)"
Training,data/raw/counseling/Training/02.라벨링데이터/TL_002. 불안장애_0003. 3회기.zip,success,49,
Training,data/raw/counseling/Training/02.라벨링데이터/TL_002. 불안장애_0004. 4회기.zip,success,49,
Training,data/raw/counseling/Training/02.라벨링데이터/TL_002. 불안장애_0005. 5회기.zip,error,0,"Expecting ',' delimiter: line 10 column 71 (char 253)"
Training,data/raw/counseling/Training/02.라벨링데이터/TL_002. 불안장애_0006. 6회기.zip,error,0,"Expecting ',' delimiter: line 10 column 30 (char 212)"
Training,data/raw/counseling/Training/02.라벨링데이터/TL_002. 불안장애_0007. 7회기.zip,success,48,
Training,data/raw/counseling/Training/02.라벨링데이터/TL_002. 불안장애_0008. 8회기.zip,success,47,
Training,data/raw/counseling/Training/02.라벨링데이터/TL_002. 불안장애_0009. 9회기.zip,success,1,
Training,data/raw/counseling/Training/02.라벨링데이터/TL_002. 불안장애_0010. 10회기.zip,success,1,
Training,data/raw/counseling/Training/02.라벨링데이터/TL_002. 불안장애_0011. 11회기.zip,success,1,
Training,data/raw/counseling/Training/02.라벨링데이터/TL_003. 중독_0001. 1회기.zip,success,51,
