진료년도,상별구분,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2024,ADHD,서울,강남구,남,0~9세,1228 ,7706 ,757661040 
2024,ADHD,서울,강남구,남,10~19세,2844 ,20690 ,2040340760 
2024,ADHD,서울,강남구,남,20~29세,1712 ,11840 ,1442449110 
2024,ADHD,서울,강남구,남,30~39세,1483 ,10474 ,1392209580 
2024,ADHD,서울,강남구,남,40~49세,393 ,2671 ,311817480 
2024,ADHD,서울,강남구,남,50~59세,118 ,651 ,79341840 
2024,ADHD,서울,강남구,남,60~69세,16 ,65 ,7748540 
2024,ADHD,서울,강남구,남,70~79세,0 ,0 ,0 
2024,ADHD,서울,강남구,남,80~89세,0 ,0 ,0 
2024,ADHD,서울,강남구,남,90~99세,0 ,0 ,0 
2024,ADHD,서울,강남구,남,100세이상,0 ,0 ,0 
2024,ADHD,서울,강남구,여,0~9세,351 ,2167 ,209704420 
2024,ADHD,서울,강남구,여,10~19세,1463 ,10836 ,1152771010 
2024,ADHD,서울,강남구,여,20~29세,2257 ,15227 ,2037029900 
2024,ADHD,서울,강남구,여,30~39세,1512 ,11037 ,1484357250 
2024,ADHD,서울,강남구,여,40~49세,439 ,3054 ,353707960 
2024,ADHD,서울,강남구,여,50~59세,119 ,778 ,84423480 
2024,ADHD,서울,강남구,여,60~69세,16 ,66 ,6735880 
2024,ADHD,서울,강남구,여,70~79세,0 ,0 ,0 
2024,ADHD,서울,강남구,여,80~89세,0 ,0 ,0 
2024,ADHD,서울,강남구,여,90~99세,0 ,0 ,0 
2024,ADHD,서울,강남구,여,100세이상,0 ,0 ,0 
2024,ADHD,서울,강동구,남,0~9세,782 ,6909 ,455665810 
2024,ADHD,서울,강동구,남,10~19세,1064 ,8618 ,613983110 
2024,ADHD,서울,강동구,남,20~29세,409 ,2596 ,198724390 
2024,ADHD,서울,강동구,남,30~39세,294 ,1988 ,164378600 
2024,ADHD,서울,강동구,남,40~49세,92 ,599 ,53366750 
2024,ADHD,서울,강동구,남,50~59세,14 ,96 ,6254250 
2024,ADHD,서울,강동구,남,60~69세,0 ,0 ,0 
2024,ADHD,서울,강동구,남,70~79세,0 ,0 ,0 
2024,ADHD,서울,강동구,남,80~89세,0 ,0 ,0 
2024,ADHD,서울,강동구,남,90~99세,0 ,0 ,0 
2024,ADHD,서울,강동구,남,100세이상,0 ,0 ,0 
2024,ADHD,서울,강동구,여,0~9세,233 ,1638 ,117641320 
2024,ADHD,서울,강동구,여,10~19세,478 ,3773 ,281712670 
2024,ADHD,서울,강동구,여,20~29세,452 ,2957 ,248119530 
2024,ADHD,서울,강동구,여,30~39세,313 ,1938 ,156737220 
2024,ADHD,서울,강동구,여,40~49세,100 ,641 ,49311880 
2024,ADHD,서울,강동구,여,50~59세,18 ,123 ,10695900 
2024,ADHD,서울,강동구,여,60~69세,0 ,0 ,0 
2024,ADHD,서울,강동구,여,70~79세,0 ,0 ,0 
2024,ADHD,서울,강동구,여,80~89세,0 ,0 ,0 
2024,ADHD,서울,강동구,여,90~99세,0 ,0 ,0 
2024,ADHD,서울,강동구,여,100세이상,0 ,0 ,0 
2024,ADHD,서울,강서구,남,0~9세,505 ,3496 ,271633420 
2024,ADHD,서울,강서구,남,10~19세,811 ,6124 ,478333460 
2024,ADHD,서울,강서구,남,20~29세,409 ,2799 ,258883370 
2024,ADHD,서울,강서구,남,30~39세,349 ,2432 ,260651670 
2024,ADHD,서울,강서구,남,40~49세,80 ,589 ,56257760 
2024,ADHD,서울,강서구,남,50~59세,16 ,101 ,7129000 
2024,ADHD,서울,강서구,남,60~69세,0 ,0 ,0 
