진료년도,상병구분,시도,시군구,성별,환자수,입내원일수,요양급여비용
2024,ADHD,서울,강남구,남,7412 ,54120 ,6033692320 
2024,ADHD,서울,강남구,여,5919 ,43167 ,5328795940 
2024,ADHD,서울,강동구,남,2534 ,20827 ,1493909830 
2024,ADHD,서울,강동구,여,1536 ,11081 ,864939430 
2024,ADHD,서울,강서구,남,2045 ,15542 ,1332906290 
2024,ADHD,서울,강서구,여,1478 ,10066 ,1018202850 
2024,ADHD,서울,관악구,남,1878 ,14842 ,1542151430 
2024,ADHD,서울,관악구,여,1704 ,13238 ,1424920130 
2024,ADHD,서울,구로구,남,1733 ,12132 ,910331900 
2024,ADHD,서울,구로구,여,1390 ,9740 ,917880890 
2024,ADHD,서울,도봉구,남,656 ,5717 ,359671920 
2024,ADHD,서울,도봉구,여,508 ,4108 ,224621050 
2024,ADHD,서울,동대문구,남,1361 ,9910 ,1021558920 
2024,ADHD,서울,동대문구,여,1499 ,11536 ,1264941980 
2024,ADHD,서울,동작구,남,1813 ,14164 ,1559600440 
2024,ADHD,서울,동작구,여,1457 ,12190 ,1318166880 
2024,ADHD,서울,마포구,남,2579 ,19353 ,1866841140 
2024,ADHD,서울,마포구,여,2726 ,19570 ,2062075210 
2024,ADHD,서울,서대문구,남,1522 ,7037 ,752162380 
2024,ADHD,서울,서대문구,여,730 ,4568 ,486303320 
2024,ADHD,서울,성동구,남,1373 ,9898 ,1058129700 
2024,ADHD,서울,성동구,여,1269 ,9104 ,1020758860 
2024,ADHD,서울,성북구,남,1627 ,10531 ,805827750 
2024,ADHD,서울,성북구,여,1126 ,7599 ,649065960 
2024,ADHD,서울,영등포구,남,1851 ,13678 ,1497751590 
2024,ADHD,서울,영등포구,여,1562 ,11961 ,1356182710 
2024,ADHD,서울,용산구,남,641 ,4117 ,494884040 
2024,ADHD,서울,용산구,여,681 ,4344 ,486811060 
2024,ADHD,서울,은평구,남,1474 ,10257 ,821711600 
2024,ADHD,서울,은평구,여,1137 ,8212 ,648966530 
2024,ADHD,서울,종로구,남,2184 ,11391 ,1228785680 
2024,ADHD,서울,종로구,여,1427 ,9267 ,1039740960 
2024,ADHD,서울,중구,남,837 ,5331 ,680790170 
2024,ADHD,서울,중구,여,1044 ,6916 ,887841100 
2024,ADHD,서울,송파구,남,5329 ,39584 ,4471108420 
2024,ADHD,서울,송파구,여,3369 ,25532 ,3112034000 
2024,ADHD,서울,중랑구,남,1512 ,15179 ,1424761350 
2024,ADHD,서울,중랑구,여,1629 ,13619 ,1204979720 
2024,ADHD,서울,양천구,남,2322 ,16995 ,1645660120 
2024,ADHD,서울,양천구,여,1370 ,10139 ,979349400 
2024,ADHD,서울,서초구,남,4060 ,30387 ,3387545720 
2024,ADHD,서울,서초구,여,3480 ,26541 ,3297263790 
2024,ADHD,서울,노원구,남,2099 ,16043 ,1250980810 
2024,ADHD,서울,노원구,여,1362 ,10541 ,793697490 
2024,ADHD,서울,광진구,남,1740 ,11919 ,1144493700 
2024,ADHD,서울,광진구,여,1498 ,11590 ,1337283660 
2024,ADHD,서울,강북구,남,530 ,3499 ,481288890 
2024,ADHD,서울,강북구,여,367 ,2152 ,275605430 
2024,ADHD,서울,금천구,남,445 ,3363 ,424850610 
2024,ADHD,서울,금천구,여,412 ,3179 ,408824710 
2024,ADHD,부산,부산남구,남,1376 ,11715 ,921426200 
2024,ADHD,부산,부산남구,여,787 ,6942 ,579180320 
2024,ADHD,부산,부산동구,남,33 ,200 ,22638690 
2024,ADHD,부산,부산동구,여,21 ,130 ,12391610 
2024,ADHD,부산,부산동래구,남,1565 ,16572 ,1207833960 
2024,ADHD,부산,부산동래구,여,1048 ,9476 ,784927830 
2024,ADHD,부산,부산진구,남,3357 ,35780 ,2758612980 
2024,ADHD,부산,부산진구,여,1650 ,16003 ,1290990620 
2024,ADHD,부산,부산북구,남,272 ,2399 ,174825570 
2024,ADHD,부산,부산북구,여,290 ,2726 ,194396610 
2024,ADHD,부산,부산서구,남,379 ,2699 ,176212540 
2024,ADHD,부산,부산서구,여,211 ,1810 ,126790120 
2024,ADHD,부산,부산영도구,남,0 ,0 ,0 
2024,ADHD,부산,부산영도구,여,11 ,48 ,2772970 
2024,ADHD,부산,부산중구,남,26 ,154 ,16061960 
2024,ADHD,부산,부산중구,여,28 ,200 ,22382170 
2024,ADHD,부산,부산해운대구,남,2245 ,20667 ,1371479980 
2024,ADHD,부산,부산해운대구,여,1208 ,10647 ,887465760 
2024,ADHD,부산,부산사하구,남,513 ,5349 ,460837490 
2024,ADHD,부산,부산사하구,여,341 ,2903 ,238628050 
2024,ADHD,부산,부산금정구,남,249 ,1910 ,141204300 
2024,ADHD,부산,부산금정구,여,252 ,1873 ,135179430 
2024,ADHD,부산,부산강서구,남,69 ,488 ,33373230 
2024,ADHD,부산,부산강서구,여,53 ,307 ,28702740 
2024,ADHD,부산,부산연제구,남,2580 ,24436 ,2419433800 
2024,ADHD,부산,부산연제구,여,1357 ,11681 ,1177173500 
2024,ADHD,부산,부산수영구,남,491 ,3557 ,315333950 
2024,ADHD,부산,부산수영구,여,475 ,4073 ,338202670 
2024,ADHD,부산,부산사상구,남,964 ,8502 ,980148910 
2024,ADHD,부산,부산사상구,여,596 ,5195 ,515382180 
2024,ADHD,부산,부산기장군,남,728 ,7164 ,707280990 
2024,ADHD,부산,부산기장군,여,397 ,3555 ,310539400 
2024,ADHD,인천,인천미추홀구,남,431 ,2975 ,216445240 
2024,ADHD,인천,인천미추홀구,여,248 ,1908 ,118428440 
2024,ADHD,인천,인천동구,남,59 ,338 ,22529220 
2024,ADHD,인천,인천동구,여,30 ,155 ,17033690 
2024,ADHD,인천,인천부평구,남,796 ,5546 ,574232280 
2024,ADHD,인천,인천부평구,여,663 ,4361 ,494888170 
2024,ADHD,인천,인천중구,남,769 ,3835 ,369850680 
2024,ADHD,인천,인천중구,여,388 ,2369 ,225443200 
2024,ADHD,인천,인천서구,남,2027 ,12952 ,1389382050 
2024,ADHD,인천,인천서구,여,1245 ,7571 ,769216530 
2024,ADHD,인천,인천남동구,남,1659 ,12136 ,928436170 
2024,ADHD,인천,인천남동구,여,1116 ,7658 ,649702470 
2024,ADHD,인천,인천연수구,남,1347 ,9556 ,956261270 
2024,ADHD,인천,인천연수구,여,724 ,4932 ,493323090 
2024,ADHD,인천,인천계양구,남,608 ,5220 ,360710310 
2024,ADHD,인천,인천계양구,여,298 ,2307 ,196610480 
2024,ADHD,인천,인천강화군,남,44 ,629 ,74925590 
2024,ADHD,인천,인천강화군,여,27 ,205 ,21388680 
2024,ADHD,인천,인천옹진군,남,0 ,0 ,0 
2024,ADHD,인천,인천옹진군,여,0 ,0 ,0 
2024,ADHD,대구,대구남구,남,662 ,4225 ,439206760 
2024,ADHD,대구,대구남구,여,221 ,1226 ,119255790 
2024,ADHD,대구,대구동구,남,504 ,3614 ,345369410 
2024,ADHD,대구,대구동구,여,393 ,2895 ,298700810 
2024,ADHD,대구,대구북구,남,1442 ,10455 ,867321140 
2024,ADHD,대구,대구북구,여,939 ,6558 ,586954020 
2024,ADHD,대구,대구서구,남,123 ,954 ,66344230 
2024,ADHD,대구,대구서구,여,58 ,331 ,21084940 
2024,ADHD,대구,대구수성구,남,3193 ,27344 ,2668111220 
2024,ADHD,대구,대구수성구,여,1816 ,14751 ,1459367060 
2024,ADHD,대구,대구중구,남,709 ,5696 ,523162660 
2024,ADHD,대구,대구중구,여,593 ,4043 ,310030310 
2024,ADHD,대구,대구달서구,남,1300 ,10630 ,1032219420 
2024,ADHD,대구,대구달서구,여,671 ,5104 ,481690310 
2024,ADHD,대구,대구달성군,남,415 ,3123 ,283727310 
2024,ADHD,대구,대구달성군,여,338 ,2276 ,194686580 
2024,ADHD,대구,대구군위군,남,0 ,0 ,0 
2024,ADHD,대구,대구군위군,여,0 ,0 ,0 
2024,ADHD,광주,광주동구,남,571 ,3241 ,285913820 
2024,ADHD,광주,광주동구,여,294 ,1709 ,162176330 
2024,ADHD,광주,광주북구,남,1078 ,9495 ,548365980 
2024,ADHD,광주,광주북구,여,502 ,3591 ,252011880 
2024,ADHD,광주,광주서구,남,972 ,7586 ,401443700 
2024,ADHD,광주,광주서구,여,724 ,5204 ,398351750 
2024,ADHD,광주,광주광산구,남,203 ,1741 ,127362890 
