"시도별(1)",2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"시도별(1)",상근인력 (명),전문인력 (명),전문인력 (명),전문인력 (명),전문인력 (명),전문인력 (명),전문인력 (명),전문인력 (명),전문인력 (명),상근인력대비 전문인력 비율 (%),인구 10만명당 인력 (명),인구 10만명당 인력 (명)
"시도별(1)",소계,소계,정신의료기관,정신재활시설,정신요양시설,정신건강복지센터_광역,정신건강복지센터_기초,중독관리통합지원센터,자살예방센터,소계,상근인력,전문인력
"전국",31925,10931,7240,776,211,397,2086,176,45,34.2,61.7,21.1
"서울특별시",5319,2420,1756,266,9,59,298,12,20,45.5,56.6,25.8
"부산광역시",2363,816,525,54,13,19,195,10,-,34.5,72.4,25.0
"대구광역시",1634,566,388,49,5,19,99,6,-,34.6,69.4,24.0
"인천광역시",1683,468,304,23,X,17,108,9,5,27.8,55.2,15.3
"광주광역시",1108,415,219,24,35,29,81,27,-,37.5,76.1,28.5
"대전광역시",1003,360,210,44,14,32,50,10,-,35.9,68.1,24.4
"울산광역시",534,177,105,7,X,13,49,X,-,33.1,48.4,16.0
"세종특별자치시",186,73,37,X,X,20,13,-,-,39.2,47.8,18.8
"경기도",6652,2472,1510,128,19,66,682,47,20,37.2,48.0,17.8
"강원특별자치도",1016,277,183,5,-,11,70,8,-,27.3,66.9,18.2
"충청북도",1137,300,190,19,9,13,65,X,-,26.4,69.8,18.4
"충청남도",1777,519,404,26,28,10,45,6,-,29.2,79.9,23.3
"전북특별자치도",1407,476,262,71,29,21,83,10,-,33.8,80.0,27.1
"전라남도",1449,416,302,9,15,16,72,X,-,28.7,82.5,23.7
"경상북도",1912,446,302,24,14,14,89,X,-,23.3,73.6,17.2
"경상남도",2359,595,460,16,12,19,72,16,-,25.2,72.6,18.3
"제주특별자치도",386,135,83,10,X,19,15,5,-,35.0,57.2,20.0
