"진단현황별(1)",진단현황별(2),2022,2023,2024
"치매 제외 F코드 전체",소계,2521619,2678825,2827423
"중증 정신질환(A∪B∪C)",소계,675065,685522,693266
"조현병, 분열형 및 망상 장애(A)",소계,230807,231066,230019
"조현병, 분열형 및 망상 장애(A)",조현병,182982,182564,182077
"제1형 및 제2형 양극성 장애(B)",소계,138141,145007,147886
"제1형 및 제2형 양극성 장애(B)",조증에피소드,2654,3158,2868
"주요 우울 장애",소계,950263,1007079,1075966
"주요 우울 장애",중등도 이상 우울에피소드 및 재발성 우울장애(C),329825,332932,337626
"물질관련 및 중독장애",소계,78984,81914,82308
"신경증성, 스트레스·연관 및 신체형 장애",소계,912932,959715,980089
"인구 10만 명당 치료받은 수",조현병 분열형 및 망상 장애,505.1,502.2,497.2
"인구 10만 명당 치료받은 수",제1형 및 제2형 양극성 장애,302.3,315.2,319.6
"인구 10만 명당 치료받은 수",주요우울장애,2079.6,2189.0,2325.6
